date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn;
15/02/2006;win;URT_MG;1500;3;2;LON_PR;1500;COPA_BR;1529
22/02/2006;draw;URT_MG;1529;1;1;LON_PR;1460;COPA_BR;1521
22/03/2006;loss;URT_MG;1521;1;3;SAN_SP;1548;COPA_BR;1473
